kz_1,cz_1,kz_2,cz_2,m_frame,m_carboday,v0
17906660.12082309,32485.962375144252,161662.22330905864,1397.7593226554498,1250.7473889738321,38543.38617064059,268.29390861094
8326025.638097999,78145.0621573764,78739.8142668273,571.1635176087999,1094.5386366918683,24801.801946014166,406.54457956552505
11507068.553527283,38350.62171950857,230069.05669242688,1879.4712560963721,974.4437389075756,32851.648423820734,375.7749695330858
12953195.858851066,63857.54291551408,113078.99042592983,778.4723420903896,1409.518594108522,45715.24237282574,549.9755173921585
17100815.126952745,49119.59906781391,94368.79473009474,843.6405217725692,1452.8739251196384,41743.75206232071,304.68830168247223
10949478.36466074,58999.975922869104,193754.12370202332,1459.8698469630956,1006.079082749784,21793.927354738116,569.5626277476549
7983401.23315353,25531.727439555514,132628.08701907995,626.9628931645489,1128.5279799252748,28685.400625690818,238.74280601739883
23460268.951225687,84908.82385791824,269815.34637736616,1070.333207772486,1291.7667450383306,49630.40489703417,486.4172611385584
20715103.115564615,40148.2836855758,142288.61050208204,1542.980526939823,1081.2866885215044,43261.175993829966,328.4403182566166
7195773.538968156,66736.39265750069,280264.4462925873,943.8378529659758,1228.1197937205434,33210.957841947675,596.4274611324072
9854740.188816084,31069.599805731144,100165.59252553426,1146.6384607123266,1366.9611878693104,26317.453244701028,215.57674035429955
15130874.10440581,74663.74333269834,194797.05222509592,691.9645885970548,903.7595411762595,35372.49183282256,460.1383786648512
14644997.842275305,29033.767284748996,233814.17505272123,537.5030536313885,1019.7802864015102,46459.439089521766,291.44780449569225
12790058.672120243,96655.42560280801,118738.31324933704,1242.678517287404,1475.9494816884398,30201.06617361307,432.8356586396694
9235331.463357449,43145.55139824699,166108.53853495742,722.7130219884195,1334.7562406212091,22153.308242559433,352.0351495593786
20275181.53052251,51910.93679794822,85397.85542473107,1693.6479311179728,1199.640684016049,39289.67143408954,523.0985142290592
19468332.66495919,44853.14536997489,288692.625403957,612.5378557583904,1388.468423858285,30988.304438069463,413.2272828370333
8879538.290862096,52737.63420229818,148209.404075013,1001.2034811033676,953.4667359665036,47539.6460480988,262.4156415462494
12280628.311227875,27960.255787734637,207346.884513801,898.2639172841032,1111.0478304326534,40428.245048969984,530.838555470109
14080278.732882041,94991.17558536587,105436.54019132887,1488.2399292424416,1267.1832656487823,22881.72566331923,394.10141557455063
15739464.53945201,30893.25896113605,125707.80708716273,1917.170180473183,1308.2120306789875,34349.53134506941,551.1859878897667
10261653.514663149,72747.58047681271,244784.31362159667,829.3855181349043,1145.0464328750968,43989.593302831054,323.87262023985386
7485475.266983545,40327.81314600959,87488.34846414962,1306.6242361268783,985.0928921252489,36159.729985520244,492.2481834888458
